16:40:31.577859 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:32.365027 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:33.364613 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:34.578675 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:35.367607 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:36.168576 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:40:36.168966 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:40:36.364178 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:40:37.503294 IP 192.168.139.144.1666 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.503347 IP 192.168.139.144.2042 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.503436 IP 192.168.139.144.3221 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.503491 IP 192.168.139.144.49157 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.503583 IP 192.168.139.144.8085 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.503769 IP 192.168.139.142.48708 > 192.168.139.144.16001: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.503835 IP 192.168.139.142.48708 > 192.168.139.144.40911: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.503936 IP 192.168.139.142.48708 > 192.168.139.144.1721: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.504109 IP 192.168.139.144.12265 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.504237 IP 192.168.139.144.gris > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.504294 IP 192.168.139.144.20221 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.504386 IP 192.168.139.144.2046 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.504501 IP 192.168.139.142.48708 > 192.168.139.144.xmpp-client: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.504605 IP 192.168.139.142.48708 > 192.168.139.144.1038: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.504739 IP 192.168.139.144.16001 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.504870 IP 192.168.139.144.40911 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.505009 IP 192.168.139.142.48708 > 192.168.139.144.10215: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.505067 IP 192.168.139.142.48708 > 192.168.139.144.8300: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.505204 IP 192.168.139.144.1721 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.505262 IP 192.168.139.144.xmpp-client > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.505357 IP 192.168.139.142.48708 > 192.168.139.144.2260: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.505422 IP 192.168.139.142.48708 > 192.168.139.144.3851: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.505555 IP 192.168.139.144.1038 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.505647 IP 192.168.139.142.48708 > 192.168.139.144.60020: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.505773 IP 192.168.139.144.10215 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.505925 IP 192.168.139.142.48708 > 192.168.139.144.14442: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.506123 IP 192.168.139.144.8300 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.506184 IP 192.168.139.144.2260 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.506288 IP 192.168.139.144.3851 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.506380 IP 192.168.139.142.48708 > 192.168.139.144.iscsi-target: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.506392 IP 192.168.139.142.48708 > 192.168.139.144.27715: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.506561 IP 192.168.139.142.48708 > 192.168.139.144.49161: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.506576 IP 192.168.139.142.48708 > 192.168.139.144.6101: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.506661 IP 192.168.139.144.60020 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.506764 IP 192.168.139.144.14442 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.506855 IP 192.168.139.142.48708 > 192.168.139.144.27355: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.506867 IP 192.168.139.142.48708 > 192.168.139.144.1217: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.507004 IP 192.168.139.144.iscsi-target > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.507095 IP 192.168.139.142.48708 > 192.168.139.144.54045: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.507107 IP 192.168.139.142.48708 > 192.168.139.144.ospfd: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.507213 IP 192.168.139.142.48708 > 192.168.139.144.8093: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.507229 IP 192.168.139.142.48708 > 192.168.139.144.3052: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.507317 IP 192.168.139.144.27715 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.507460 IP 192.168.139.142.48708 > 192.168.139.144.7025: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.507475 IP 192.168.139.142.48708 > 192.168.139.144.50003: Flags [S], seq 1770984314, win 1024, options [mss 1460], length 0
16:40:37.507568 IP 192.168.139.144.49161 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
16:40:37.507635 IP 192.168.139.144.6101 > 192.168.139.142.48708: Flags [R.], seq 0, ack 1770984315, win 0, length 0
