17:12:13.278969 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:12:13.279460 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:12:14.599554 IP 192.168.5.129.56528 > 192.168.5.130.26214: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.599583 IP 192.168.5.129.56528 > 192.168.5.130.3801: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.599613 IP 192.168.5.129.56528 > 192.168.5.130.3995: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.599653 IP 192.168.5.130.9091 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.599680 IP 192.168.5.130.pop2 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.599703 IP 192.168.5.130.26214 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.599747 IP 192.168.5.129.56528 > 192.168.5.130.14000: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.599783 IP 192.168.5.130.3801 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.599808 IP 192.168.5.130.3995 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.599832 IP 192.168.5.129.56528 > 192.168.5.130.9943: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.599877 IP 192.168.5.130.14000 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.599912 IP 192.168.5.129.56528 > 192.168.5.130.2382: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.599943 IP 192.168.5.130.9943 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.600004 IP 192.168.5.130.2382 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.600034 IP 192.168.5.129.56528 > 192.168.5.130.1060: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.600061 IP 192.168.5.129.56528 > 192.168.5.130.iprop: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.600154 IP 192.168.5.129.56528 > 192.168.5.130.16001: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.600206 IP 192.168.5.129.56528 > 192.168.5.130.ms-sql-m: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.600236 IP 192.168.5.130.1060 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.600261 IP 192.168.5.130.iprop > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.600304 IP 192.168.5.130.16001 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.600344 IP 192.168.5.130.ms-sql-m > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.691922 IP 192.168.5.129.56528 > 192.168.5.130.5718: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.692218 IP 192.168.5.129.56528 > 192.168.5.130.1084: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.692312 IP 192.168.5.129.56528 > 192.168.5.130.3998: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.692417 IP 192.168.5.129.56528 > 192.168.5.130.5802: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.693097 IP 192.168.5.130.5718 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.693787 IP 192.168.5.130.1084 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.693864 IP 192.168.5.130.3998 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.693947 IP 192.168.5.130.5802 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.694116 IP 192.168.5.129.56528 > 192.168.5.130.10010: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.694769 IP 192.168.5.129.56528 > 192.168.5.130.1503: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.694861 IP 192.168.5.129.56528 > 192.168.5.130.2399: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.695043 IP 192.168.5.129.56528 > 192.168.5.130.afs3-fileserver: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.695182 IP 192.168.5.129.56528 > 192.168.5.130.1029: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.695313 IP 192.168.5.129.56528 > 192.168.5.130.1151: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696070 IP 192.168.5.129.56528 > 192.168.5.130.qotd: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696168 IP 192.168.5.129.56528 > 192.168.5.130.19283: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696251 IP 192.168.5.129.56528 > 192.168.5.130.1049: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696331 IP 192.168.5.129.56528 > 192.168.5.130.3784: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696416 IP 192.168.5.129.56528 > 192.168.5.130.9929: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696494 IP 192.168.5.129.56528 > 192.168.5.130.19780: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696572 IP 192.168.5.129.56528 > 192.168.5.130.8100: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696659 IP 192.168.5.129.56528 > 192.168.5.130.3703: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696755 IP 192.168.5.129.56528 > 192.168.5.130.1028: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.696856 IP 192.168.5.129.56528 > 192.168.5.130.4004: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.697024 IP 192.168.5.129.56528 > 192.168.5.130.5560: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.697126 IP 192.168.5.129.56528 > 192.168.5.130.9944: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.697213 IP 192.168.5.129.56528 > 192.168.5.130.7627: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.697290 IP 192.168.5.129.56528 > 192.168.5.130.54328: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
